id,pres_id,bin,aut_class,start_length,r1,r2,greedy1M_saved_nodes,greedy1M_saved_path,greedy1M_rerun_nodes,greedy1M_rerun_wall_s,greedy10k_solved,greedy10k_nodes,greedy10k_path,greedy10k_rerun_wall_s,s20mk2_10k_solved,s20mk2_10k_nodes,s20mk2_10k_path,s20mk2_10k_rerun_wall_s,oldcascade_saved_units,oldcascade_saved_path,oldcascade_units,oldcascade_pops,oldcascade_steps,oldcascade_substitution,oldcascade_automorphism,oldcascade_nielsen,oldcascade_perm,oldcascade_ac_moves,oldcascade_winner,oldcascade_peak_relator,oldcascade_wall_s,H_solved,H_stage,H_units,H_pops,H_dyn_pops,H_steps,H_substitution,H_nielsen,H_perm,H_dyn,H_ac_moves,H_stable,H_max_rank_search,H_cert_max_rank,H_peak_relator,H_wall_s,H_verified,H_decoder_multiply,H-nodefine_solved,H-nodefine_units,H-nodefine_steps,H-nodefine_ac_moves,H-nodefine_wall_s,H-noeliminate_solved,H-noeliminate_units,H-noeliminate_steps,H-noeliminate_ac_moves,H-noeliminate_wall_s,H-nonielsen_solved,H-nonielsen_units,H-nonielsen_steps,H-nonielsen_ac_moves,H-nonielsen_wall_s,H-noperm_solved,H-noperm_units,H-noperm_steps,H-noperm_ac_moves,H-noperm_wall_s,H-nogates_solved,H-nogates_units,H-nogates_steps,H-nogates_ac_moves,H-nogates_wall_s,F_solved,F_units,F_steps,F_ac_moves,F_wall_s,F-noperm_solved,F-noperm_units,F-noperm_steps,F-noperm_ac_moves,F-noperm_wall_s,F-nonielsen_solved,F-nonielsen_units,F-nonielsen_steps,F-nonielsen_ac_moves,F-nonielsen_wall_s,F-s20_solved,F-s20_units,F-s20_steps,F-s20_ac_moves,F-s20_wall_s,F-nogates_solved,F-nogates_units,F-nogates_steps,F-nogates_ac_moves,F-nogates_wall_s,F-nodescent_solved,F-nodescent_units,F-nodescent_steps,F-nodescent_ac_moves,F-nodescent_wall_s,F-nonielsen-noperm_solved,F-nonielsen-noperm_units,F-nonielsen-noperm_steps,F-nonielsen-noperm_ac_moves,F-nonielsen-noperm_wall_s,BF-memoryless_solved,BF-memoryless_units,BF-memoryless_steps,BF-memoryless_ac_moves,BF-memoryless_wall_s,BF-memoryless-nielsen_solved,BF-memoryless-nielsen_units,BF-memoryless-nielsen_steps,BF-memoryless-nielsen_ac_moves,BF-memoryless-nielsen_wall_s
ms0,0,0,0,7,YYXyx,Yx,3,2,,,True,3,2,,True,3,2,,4,3,4,0,3,2,1,1,0,3,rewrite,5,0.00030270499996731814,True,B,11,0,,3,2,1,0,0,3,False,2,2,5,0.0001927969999542256,True,3,True,11,3,3,0.0001500949999808654,True,11,3,3,0.00017742700015332957,True,11,3,3,0.00020501199992395414,True,11,3,3,0.00019060199997511518,True,11,3,3,0.00024993099987113965,True,11,3,3,0.0001827910000429256,True,11,3,3,0.00019020500008082308,True,11,3,3,0.00018907399999079644,True,11,3,3,0.0003135169999950449,True,11,3,3,0.0002454600000874052,True,3,3,3,8.417300000473915e-05,True,11,3,3,0.00020053799994457222,,,,,,,,,,
ms496,496,0,68,18,YYYYYYYXyyyyyyx,YYX,4,3,,,True,4,3,,True,4,3,,7,3,7,4,3,2,1,1,0,3,s40_gen,15,0.0007943220000470319,True,B,16,0,,4,2,2,0,0,4,False,2,2,15,0.0004477979998682713,True,4,True,16,4,4,0.00036924799996995716,True,16,4,4,0.00032710400000723894,True,16,4,4,0.000411308000138888,True,16,4,4,0.0003930699999727949,True,16,4,4,0.0004617330000655784,True,16,4,4,0.0004084370000327908,True,16,4,4,0.0004331679999722837,True,16,4,4,0.0004203820001293934,True,16,4,4,0.00043234399981884053,True,16,4,4,0.00043999600006827677,True,4,4,4,8.23060001948761e-05,True,16,4,4,0.0004484979999688221,,,,,,,,,,
ms521,521,0,83,21,YYYYYYYYXyyyyyyyx,YYYx,5,4,,,True,5,4,,True,5,4,,9,4,9,5,4,4,0,0,0,4,s40_gen,17,0.0008219690000714763,True,B,21,0,,5,2,3,0,0,5,False,2,2,17,0.0005836400000589492,True,5,True,21,5,5,0.0005234189998191141,True,21,5,5,0.0005547979999391828,True,21,5,5,0.0006005059999552032,True,21,5,5,0.0006144429999039858,True,21,5,5,0.0006682230000478739,True,21,5,5,0.0005556680000609049,True,21,5,5,0.0005174359998818545,True,21,5,5,0.0006017069999870728,True,21,5,5,0.0006537200001730525,True,21,5,5,0.0005648470000778616,True,5,5,5,9.691699983704893e-05,True,21,5,5,0.000674633000016911,,,,,,,,,,
ms323,323,0,2,15,YYYYYx,YYYYXyyyx,7,6,,,True,7,6,,True,7,6,,13,6,13,7,6,6,0,0,0,6,s40_gen,9,0.0010215669999524835,True,B,31,0,,7,2,5,0,0,7,False,2,2,9,0.000638840999954482,True,7,True,31,7,7,0.0006003729999974894,True,31,7,7,0.0005279360000258748,True,31,7,7,0.0006498239999928046,True,31,7,7,0.0006337239999538724,True,31,7,7,0.0006919039999502274,True,31,7,7,0.0005874510000012378,True,31,7,7,0.0007097200000316661,True,31,7,7,0.0006448149999869202,True,31,7,7,0.000620510999851831,True,31,7,7,0.0006242780000320636,True,7,7,7,0.00016345800008821243,True,31,7,7,0.0006439270000555553,,,,,,,,,,
ms228,228,0,52,14,YYYXyyx,YYXXYYx,9,7,,,True,9,7,,True,8,7,,10,7,10,8,7,7,0,0,0,7,s40_gen,7,0.0013224750000517815,True,C,20,0,,8,8,0,0,0,8,False,2,2,7,0.0003591920001326798,True,8,True,20,8,8,0.0003542819999893254,True,20,8,8,0.0002844799998911185,True,20,8,8,0.00039775200002623023,True,20,8,8,0.00038182499997674313,True,20,8,8,0.00040483499992660654,True,20,8,8,0.00035792199992101814,True,20,8,8,0.0003464700000677112,True,20,8,8,0.00036124000007475843,True,20,8,8,0.00041588199997022457,True,20,8,8,0.0003834449998976197,True,16,8,8,0.00028110700009165157,True,20,8,8,0.0003650640001069405,,,,,,,,,,
ms455,455,0,89,19,YYYYYXyyyyx,YYYYxYXX,10,9,,,True,10,9,,True,9,8,,11,8,11,9,8,8,0,0,0,8,s40_gen,11,0.001775446000010561,True,C,21,0,,9,9,0,0,0,9,False,2,2,11,0.00042833199995584437,True,9,True,21,9,9,0.00038412300000345567,True,21,9,9,0.0003749669999706384,True,21,9,9,0.0004569129998799326,True,21,9,9,0.0004307579999931477,True,21,9,9,0.0004497959998843726,True,21,9,9,0.00043452700015222945,True,21,9,9,0.00043652600015775533,True,21,9,9,0.0004241500000716769,True,21,9,9,0.00044132700008958636,True,21,9,9,0.00044180699978824123,True,17,9,9,0.00031123099984142755,True,21,9,9,0.00043762999985119677,,,,,,,,,,
ms77,77,1,25,13,YYXyx,YXyXXyxx,11,8,,,True,11,8,,True,9,8,,11,10,11,0,10,9,1,0,1,9,rewrite,8,0.0004623519998858683,True,C,31,0,,9,9,0,0,0,9,False,2,2,8,0.0005331160000423552,True,9,True,31,9,9,0.00048475800008418446,True,31,9,9,0.0004048600001169689,True,31,9,9,0.0005067199999757577,True,31,9,9,0.0005030239999541664,True,31,9,9,0.0005598249999820837,True,31,9,9,0.0005217210000409978,True,31,9,9,0.0005664029999934428,True,31,9,9,0.0005327349999788566,True,31,9,9,0.0005406549998951959,True,31,9,9,0.0005323039999893808,True,27,9,9,0.00047441100014111726,True,31,9,9,0.0005526069999177707,,,,,,,,,,
ms43,43,1,7,12,YYXyx,YYxYxYX,13,9,,,True,13,9,,True,10,9,,12,11,12,0,11,9,2,1,1,10,rewrite,7,0.0004479409999476047,True,C,26,0,,10,9,1,0,0,10,False,2,2,7,0.0004486130001168931,True,10,True,26,10,10,0.00040675500008546805,True,26,10,10,0.00034629099991434487,True,26,10,10,0.00046320000001287553,True,26,10,10,0.0004413760000261391,True,26,10,10,0.00045091600009072863,True,26,10,10,0.00042834300006688864,True,26,10,10,0.0004477060001590871,True,26,10,10,0.00048592600001029496,True,26,10,10,0.0004580710001391708,True,26,10,10,0.0004092120000223076,True,23,10,10,0.0003595420000692684,True,26,10,10,0.0004539220001333888,,,,,,,,,,
ms141,141,1,46,13,YYXyx,YXyXyxxx,12,10,,,True,12,10,,True,23,10,,13,12,13,0,12,11,1,0,1,11,rewrite,9,0.0005209949999880337,True,C,28,0,,11,11,0,0,0,11,False,2,2,9,0.0005010040001707239,True,11,True,28,11,11,0.0004909790000056091,True,28,11,11,0.0012745679998715786,True,28,11,11,0.0005357600000479579,True,28,11,11,0.0005605459998605511,True,28,11,11,0.0005600910001248849,True,28,11,11,0.0004978549998213566,True,28,11,11,0.0005794359999526932,True,28,11,11,0.0005554570000185777,True,28,11,11,0.0005547700000079203,True,28,11,11,0.0006854389998807164,True,24,11,11,0.00046181599986994115,True,28,11,11,0.0005636630000935838,,,,,,,,,,
ms48,48,1,13,12,YYYxxYX,YYXyx,18,11,,,True,18,11,,True,13,11,,14,13,14,0,13,12,1,0,1,12,rewrite,9,0.0004950929999267828,True,C,24,0,,12,12,0,0,0,12,False,2,2,9,0.0004444749999947817,True,12,True,24,12,12,0.0003831689998605725,True,24,12,12,0.000581567000153882,True,24,12,12,0.00042393199987600383,True,24,12,12,0.0005258870000943716,True,24,12,12,0.0004404339999837248,True,24,12,12,0.00041539899984854856,True,24,12,12,0.00041837499998109706,True,24,12,12,0.0004737250001198845,True,24,12,12,0.00046054499989622855,True,24,12,12,0.0007258600001023296,True,20,12,12,0.00044273399998928653,True,24,12,12,0.0005088990001240745,,,,,,,,,,
ms155,155,1,31,13,YYYYxyXX,YYXyx,18,12,,,True,18,12,,True,16,12,,15,14,15,0,14,13,1,0,1,13,rewrite,11,0.0007491040000786597,True,C,25,0,,13,13,0,0,0,13,False,2,2,11,0.0005166949999875214,True,13,True,25,13,13,0.0004788389999248466,True,25,13,13,0.00040669100008017267,True,25,13,13,0.0005189210000935418,True,25,13,13,0.0005021790000228066,True,25,13,13,0.0005134629998337914,True,25,13,13,0.0005165799998394505,True,25,13,13,0.0004905590001271776,True,25,13,13,0.0005630289999771776,True,25,13,13,0.0004992070000753301,True,25,13,13,0.0007164369999372866,True,21,13,13,0.0004163169999173988,True,25,13,13,0.0005428590000065014,,,,,,,,,,
ms505,505,1,105,22,YYYYYYYXyyyyyyx,YYXyyxx,34,23,,,True,34,23,,True,138,41,,34,18,34,32,18,16,2,2,0,18,s40_gen,15,0.011458486000037738,True,C,30,0,,18,18,0,0,0,18,False,2,2,15,0.000811129999874538,True,18,True,30,18,18,0.000759874000095806,True,30,18,18,0.0006919689999449474,True,30,18,18,0.0007862029999614606,True,30,18,18,0.0008165579999968031,True,30,18,18,0.0008450059999631776,True,30,18,18,0.000750753999909648,True,30,18,18,0.0008155850000548526,True,30,18,18,0.0008404170000630984,True,30,18,18,0.0008583500000440836,True,30,18,18,0.0010095719999299035,True,26,18,18,0.001098102000014478,True,30,18,18,0.0008571089999804826,,,,,,,,,,
